2026-07-04 12:56:53 | INFO     | __main__ | Starting Office Automation Suite - Karina
2026-07-04 12:56:54 | INFO     | __main__ | OAS-K Version 1.0.0
2026-07-04 12:56:54 | INFO     | __main__ | Application initialized successfully.
2026-07-04 12:57:37 | INFO     | __main__ | Starting Office Automation Suite - Karina
2026-07-04 12:57:37 | INFO     | __main__ | OAS-K Version 1.0.0
2026-07-04 12:57:37 | INFO     | __main__ | Application initialized successfully.
2026-07-04 12:58:16 | INFO     | __main__ | Starting Office Automation Suite - Karina
2026-07-04 12:58:17 | INFO     | __main__ | OAS-K Version 1.0.0
2026-07-04 12:58:17 | INFO     | __main__ | Application initialized successfully.
2026-07-04 13:08:41 | INFO     | __main__ | Starting Office Automation Suite - Karina
2026-07-04 13:08:41 | INFO     | __main__ | OAS-K Version 1.0.0
2026-07-04 13:08:41 | INFO     | __main__ | Application initialized successfully.
2026-07-04 13:09:58 | INFO     | __main__ | Starting OAS-K
2026-07-04 13:09:58 | INFO     | __main__ | Launcher loaded successfully.
2026-07-04 13:10:32 | INFO     | __main__ | Starting OAS-K
2026-07-04 13:10:32 | INFO     | __main__ | Launcher loaded successfully.
2026-07-04 13:13:54 | INFO     | attendance.gui | Application Ready.
2026-07-04 13:13:54 | INFO     | attendance.gui | Waiting for user input...
2026-07-04 13:14:26 | INFO     | attendance.gui | Application Ready.
2026-07-04 13:14:26 | INFO     | attendance.gui | Waiting for user input...
2026-07-04 13:15:29 | INFO     | attendance.gui | Application Ready.
2026-07-04 13:15:29 | INFO     | attendance.gui | Waiting for user input...
2026-07-04 13:15:30 | INFO     | shared.dialogs | Attendance Engine will be implemented in Sprint 5.
2026-07-04 13:16:09 | INFO     | attendance.gui | Application Ready.
2026-07-04 13:16:09 | INFO     | attendance.gui | Waiting for user input...
2026-07-05 16:22:47 | INFO     | attendance.gui | Application Ready.
2026-07-05 16:22:47 | INFO     | attendance.gui | Waiting for user input...
2026-07-05 16:22:57 | INFO     | attendance.gui | Selected Workflow : Branch
2026-07-05 16:22:59 | INFO     | attendance.gui | Selected Workflow : Head Office (HO)
2026-07-05 16:33:42 | INFO     | attendance.gui | Application Ready.
2026-07-05 16:33:42 | INFO     | attendance.gui | Waiting for user input...
2026-07-05 16:34:34 | INFO     | attendance.gui | Application Ready.
2026-07-05 16:34:34 | INFO     | attendance.gui | Waiting for user input...
2026-07-05 16:34:36 | INFO     | attendance.gui | Generate button clicked.
2026-07-05 16:34:36 | INFO     | attendance.gui | Validation failed: Attendance Configuration is required.
2026-07-05 16:34:36 | WARNING  | shared.dialogs | Attendance Configuration is required.
2026-07-05 16:35:57 | INFO     | attendance.gui | Generate button clicked.
2026-07-05 16:35:57 | INFO     | attendance.gui | Validation failed: Attendance Configuration is required.
2026-07-05 16:35:57 | WARNING  | shared.dialogs | Attendance Configuration is required.
2026-07-05 16:36:56 | INFO     | attendance.gui | Application Ready.
2026-07-05 16:36:56 | INFO     | attendance.gui | Waiting for user input...
2026-07-05 16:37:16 | INFO     | attendance.gui | Attendance Configuration selected.
2026-07-05 16:37:23 | INFO     | attendance.gui | Output folder selected.
2026-07-05 16:37:49 | INFO     | attendance.gui | Generate button clicked.
2026-07-05 16:37:49 | INFO     | attendance.gui | Input validation success.
2026-07-05 16:37:49 | INFO     | attendance.gui | Configuration file : D:\Python Project\Attendance Configuration\config\OAS-K_Attendance_Configuration.xlsx
2026-07-05 16:37:49 | INFO     | attendance.gui | Output folder      : D:\Python Project\Attendance Configuration\output
2026-07-05 16:37:49 | INFO     | attendance.gui | Date From          : 07/01/2026
2026-07-05 16:37:49 | INFO     | attendance.gui | Date To            : 07/31/2026
2026-07-05 16:37:49 | INFO     | attendance.gui | Workflow           : HO
2026-07-05 16:37:49 | INFO     | attendance.gui | Generate HRIS TXT  : True
2026-07-05 16:37:49 | INFO     | attendance.gui | Generate Report    : True
2026-07-05 16:37:49 | INFO     | attendance.gui | Preparing Attendance Engine...
2026-07-05 16:37:49 | INFO     | attendance.gui | Attendance Engine placeholder started.
2026-07-05 16:37:49 | INFO     | attendance.gui | No MDB processing is executed in Sprint 4.3.
2026-07-05 16:37:49 | INFO     | attendance.gui | Attendance Engine placeholder finished.
2026-07-05 16:37:49 | INFO     | attendance.gui | Sprint 5 will implement real processing.
2026-07-05 16:37:49 | INFO     | shared.dialogs | Attendance GUI is ready for Engine integration.

Real Attendance Engine will be implemented in Sprint 5.
2026-07-05 16:40:29 | INFO     | attendance.gui | Application Ready.
2026-07-05 16:40:29 | INFO     | attendance.gui | Waiting for user input...
2026-07-05 16:42:50 | INFO     | attendance.gui | Application Ready.
2026-07-05 16:42:50 | INFO     | attendance.gui | Waiting for user input...
2026-07-05 16:48:12 | INFO     | attendance.gui | Application Ready.
2026-07-05 16:48:12 | INFO     | attendance.gui | Waiting for user input...
2026-07-05 16:48:21 | INFO     | attendance.gui | Date From selected: 07/01/2026
2026-07-05 16:48:27 | INFO     | attendance.gui | Date To selected: 07/31/2026
2026-07-05 16:48:34 | INFO     | attendance.gui | Output folder selected.
2026-07-05 16:48:41 | INFO     | attendance.gui | Attendance Configuration selected.
2026-07-05 16:48:45 | INFO     | attendance.gui | Generate button clicked.
2026-07-05 16:48:45 | INFO     | attendance.gui | Input validation success.
2026-07-05 16:48:45 | INFO     | attendance.gui | Configuration file : D:\Python Project\Attendance Configuration\config\OAS-K_Attendance_Configuration.xlsx
2026-07-05 16:48:45 | INFO     | attendance.gui | Output folder      : D:\Python Project\Attendance Configuration\output
2026-07-05 16:48:45 | INFO     | attendance.gui | Date From          : 07/01/2026
2026-07-05 16:48:45 | INFO     | attendance.gui | Date To            : 07/31/2026
2026-07-05 16:48:45 | INFO     | attendance.gui | Workflow           : HO
2026-07-05 16:48:45 | INFO     | attendance.gui | Generate HRIS TXT  : True
2026-07-05 16:48:45 | INFO     | attendance.gui | Generate Report    : True
2026-07-05 16:48:45 | INFO     | attendance.gui | Preparing Attendance Engine...
2026-07-05 16:48:45 | INFO     | attendance.gui | Attendance Engine placeholder started.
2026-07-05 16:48:45 | INFO     | attendance.gui | No MDB processing is executed in Sprint 4.3.
2026-07-05 16:48:45 | INFO     | attendance.gui | Attendance Engine placeholder finished.
2026-07-05 16:48:45 | INFO     | attendance.gui | Sprint 5 will implement real processing.
2026-07-05 16:48:45 | INFO     | shared.dialogs | Attendance GUI is ready for Engine integration.

Real Attendance Engine will be implemented in Sprint 5.
2026-07-05 16:49:59 | INFO     | attendance.gui | Application Ready.
2026-07-05 16:49:59 | INFO     | attendance.gui | Waiting for user input...
2026-07-05 16:59:09 | INFO     | attendance.extractor | Connecting to MDB: D:\Python Project\Attendance Configuration\mdb\HO\newatt2000.mdb
2026-07-05 16:59:10 | INFO     | attendance.extractor | MDB connection established.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 40 table(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 5 column(s) in table ACGroup.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table ACGroup returned 5 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 16 column(s) in table ACTimeZones.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table ACTimeZones returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 7 column(s) in table ACUnlockComb.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table ACUnlockComb returned 5 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 3 column(s) in table ATTPARAM.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table ATTPARAM returned 5 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 3 column(s) in table AUTHDEVICE.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table AUTHDEVICE returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 6 column(s) in table AlarmLog.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table AlarmLog returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 7 column(s) in table AuditedExc.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table AuditedExc returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 12 column(s) in table CHECKEXACT.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table CHECKEXACT returned 2 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 8 column(s) in table CHECKINOUT.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table CHECKINOUT returned 5 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 16 column(s) in table DEPARTMENTS.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table DEPARTMENTS returned 1 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 2 column(s) in table DeptUsedSchs.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table DeptUsedSchs returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 3 column(s) in table EXCNOTES.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table EXCNOTES returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 9 column(s) in table EmOpLog.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table EmOpLog returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 10 column(s) in table FaceTemp.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table FaceTemp returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 11 column(s) in table HOLIDAYS.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table HOLIDAYS returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 10 column(s) in table LEAVECLASS.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table LEAVECLASS returned 3 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 12 column(s) in table LEAVECLASS1.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table LEAVECLASS1 returned 5 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 28 column(s) in table Machines.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table Machines returned 1 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 7 column(s) in table NUM_RUN.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table NUM_RUN returned 1 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 7 column(s) in table NUM_RUN_DEIL.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table NUM_RUN_DEIL returned 5 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 39 column(s) in table Paste Errors.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table Paste Errors returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 10 column(s) in table ReportItem.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table ReportItem returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 17 column(s) in table SCHCLASS.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table SCHCLASS returned 2 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 10 column(s) in table SECURITYDETAILS.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table SECURITYDETAILS returned 5 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 20 column(s) in table SHIFT.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table SHIFT returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 8 column(s) in table ServerLog.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table ServerLog returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 6 column(s) in table SystemLog.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table SystemLog returned 5 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 2 column(s) in table TBKEY.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table TBKEY returned 3 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 4 column(s) in table TBSMSALLOT.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table TBSMSALLOT returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 8 column(s) in table TBSMSINFO.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table TBSMSINFO returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 16 column(s) in table TEMPLATE.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table TEMPLATE returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 40 column(s) in table USERINFO.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table USERINFO returned 5 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 6 column(s) in table USER_OF_RUN.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table USER_OF_RUN returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 6 column(s) in table USER_SPEDAY.
2026-07-05 16:59:10 | INFO     | attendance.extractor | Preview table USER_SPEDAY returned 0 record(s).
2026-07-05 16:59:10 | INFO     | attendance.extractor | Found 7 column(s) in table USER_TEMP_SCH.
